year_ceremony,Category,name,film
1959,Best Actor,David Niven,Separate Tables
1959,Best Actor in supporting role,Burl Ives,The Big Country
1959,Best Actress,Susan Hayward,I Want to Live!
1959,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables
1960,Best Actor,Charlton Heston,Ben-Hur
1960,Best Actor in supporting role,Hugh Griffith,Ben-Hur
1960,Best Actress,Simone Signoret,Room at the Top
1960,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank
1961,Best Actor,Burt Lancaster,Elmer Gantry
1961,Best Actor in supporting role,Peter Ustinov,Spartacus
1961,Best Actress,Elizabeth Taylor,Butterfield 8
1961,ACTRESS IN A SUPPORTING ROLE,Shirley Jones,Elmer Gantry
1962,Best Actor,Maximilian Schell,Judgment at Nuremberg
1962,Best Actor in supporting role,George Chakiris,West Side Story
1962,Best Actress,Sophia Loren,Two Women
1962,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story
1963,Best Actor,Gregory Peck,To Kill a Mockingbird
1963,Best Actor in supporting role,Ed Begley,Sweet Bird of Youth
1963,Best Actress,Anne Bancroft,The Miracle Worker
1963,ACTRESS IN A SUPPORTING ROLE,Patty Duke,The Miracle Worker
1964,Best Actor,Sidney Poitier,Lilies of the Field
1964,Best Actor in supporting role,Melvyn Douglas,Hud
1964,Best Actress,Patricia Neal,Hud
1964,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,The V.I.P.s
1965,Best Actor,Rex Harrison,My Fair Lady
1965,Best Actor in supporting role,Peter Ustinov,Topkapi
1965,Best Actress,Julie Andrews,Mary Poppins
1965,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova,Zorba the Greek
1966,Best Actor,Lee Marvin,Cat Ballou
1966,Best Actor in supporting role,Martin Balsam,A Thousand Clowns
1966,Best Actress,Julie Christie,Darling
1966,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,A Patch of Blue
1967,Best Actor,Paul Scofield,A Man for All Seasons
1967,Best Actor in supporting role,Walter Matthau,The Fortune Cookie
1967,Best Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,Who's Afraid of Virginia Woolf?
1968,Best Actor,Rod Steiger,In the Heat of the Night
1968,Best Actor in supporting role,George Kennedy,Cool Hand Luke
1968,Best Actress,Katharine Hepburn,Guess Who's Coming to Dinner
1968,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,Bonnie and Clyde
1969,Best Actor,Cliff Robertson,Charly
1969,Best Actor in supporting role,Jack Albertson,The Subject Was Roses
1969,Best Actress,Katharine Hepburn,The Lion in Winter
1969,Best Actress,Barbra Streisand,Funny Girl
1969,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby
1970,Best Actor,John Wayne,True Grit
1970,Best Actor in supporting role,Gig Young,"They Shoot Horses, Don't They?"
1970,Best Actress,Maggie Smith,The Prime of Miss Jean Brodie
1970,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn,Cactus Flower
1971,Best Actor,George C. Scott,Patton
1971,Best Actor in supporting role,John Mills,Ryan's Daughter
1971,Best Actress,Glenda Jackson,Women in Love
1971,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,Airport
1972,Best Actor,Gene Hackman,The French Connection
1972,Best Actor in supporting role,Ben Johnson,The Last Picture Show
1972,Best Actress,Jane Fonda,Klute
1972,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,The Last Picture Show
1973,Best Actor,Marlon Brando,The Godfather
1973,Best Actor in supporting role,Joel Grey,Cabaret
1973,Best Actress,Liza Minnelli,Cabaret
1973,ACTRESS IN A SUPPORTING ROLE,Eileen Heckart,Butterflies Are Free
1974,Best Actor,Jack Lemmon,Save the Tiger
1974,Best Actor in supporting role,John Houseman,The Paper Chase
1974,Best Actress,Glenda Jackson,A Touch of Class
1974,ACTRESS IN A SUPPORTING ROLE,Tatum O'Neal,Paper Moon
1975,Best Actor,Art Carney,Harry and Tonto
1975,Best Actor in supporting role,Robert De Niro,The Godfather Part II
1975,Best Actress,Ellen Burstyn,Alice Doesn't Live Here Anymore
1975,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman,Murder on the Orient Express
1976,Best Actor,Jack Nicholson,One Flew over the Cuckoo's Nest
